year;day;Up;Down;wind;visitors;Period;site;lon;lat;year_raw;amount_raw;wind_raw;Travel Direction
2017;13;4599;5211;42;9810;Weekday;;;;2017;4599;42;Up
2017;14;6344;7237;44;13581;Weekday;;;;2017;6344;44;Up
2017;15;3015;3929;30;6944;Weekday;;;;2017;3015;30;Up
2017;16;7574;8760;24;16334;Weekday;;;;2017;7574;24;Up
2017;17;6995;8101;40;15096;Weekend;;;;2017;6995;40;Up
2017;18;1112;1537;25;2649;Weekend;;;;2017;1112;25;Up
2017;19;5500;5359;30;10859;Weekday;;;;2017;5500;30;Up
2017;20;6427;7698;20;14125;Weekday;;;;2017;6427;20;Up
2017;21;6214;7093;26;13307;Weekday;;;;2017;6214;26;Up
2017;22;6268;7088;34;13356;Weekday;;;;2017;6268;34;Up
2017;23;4989;5560;25;10549;Weekday;;;;2017;4989;25;Up
2017;24;3435;4150;37;7585;Weekend;;;;2017;3435;37;Up
2017;25;202;225;24;427;Weekend;;;;2017;202;24;Up
2017;26;3301;6107;39;9408;Weekday;;;;2017;3301;39;Up
;1;;;;;;;;;2014;2363;37;Down
;2;;;;;;;;;2014;0;22;Down
;3;;;;;;;;;2014;3136;48;Down
;4;;;;;;;;;2014;6065;43;Down
;5;;;;;;;;;2014;5630;49;Down
;6;;;;;;;;;2014;5533;47;Down
;7;;;;;;;;;2014;4549;30;Down
;8;;;;;;;;;2014;4031;16;Down
;9;;;;;;;;;2014;6283;21;Down
;10;;;;;;;;;2014;3630;23;Down
;11;;;;;;;;;2014;4324;27;Down
;12;;;;;;;;;2014;0;35;Down
;13;;;;;;;;;2014;4441;30;Down
;14;;;;;;;;;2014;2425;46;Down
;15;;;;;;;;;2014;4840;38;Down
;16;;;;;;;;;2014;6455;21;Down
;17;;;;;;;;;2014;0;23;Down
;18;;;;;;;;;2014;6210;29;Down
;19;;;;;;;;;2014;7289;24;Down
;20;;;;;;;;;2014;7376;29;Down
;21;;;;;;;;;2014;4348;24;Down
;22;;;;;;;;;2014;4928;33;Down
;23;;;;;;;;;2014;0;40;Down
;24;;;;;;;;;2014;5618;23;Down
;25;;;;;;;;;2014;6525;23;Down
;26;;;;;;;;;2014;3300;32;Down
;1;;;;;;;;;2015;4494;29;Down
;2;;;;;;;;;2015;4929;23;Down
;3;;;;;;;;;2015;4747;30;Down
;4;;;;;;;;;2015;5949;37;Down
;5;;;;;;;;;2015;6409;26;Down
;6;;;;;;;;;2015;1787;20;Down
;7;;;;;;;;;2015;6357;21;Down
;8;;;;;;;;;2015;2136;31;Down
;9;;;;;;;;;2015;6825;29;Down
;10;;;;;;;;;2015;6465;41;Down
;11;;;;;;;;;2015;5087;34;Down
;12;;;;;;;;;2015;4460;21;Down
;13;;;;;;;;;2015;7100;29;Down
;14;;;;;;;;;2015;6543;30;Down
;15;;;;;;;;;2015;6930;39;Down
;16;;;;;;;;;2015;7175;22;Down
;17;;;;;;;;;2015;7737;30;Down
;18;;;;;;;;;2015;6329;28;Down
;19;;;;;;;;;2015;7414;33;Down
;20;;;;;;;;;2015;6874;32;Down
;21;;;;;;;;;2015;0;52;Down
;22;;;;;;;;;2015;6314;26;Down
;23;;;;;;;;;2015;7716;47;Down
;24;;;;;;;;;2015;4350;43;Down
;25;;;;;;;;;2015;0;44;Down
;26;;;;;;;;;2015;0;36;Down
;1;;;;;;;;;2016;5084;34;Down
;2;;;;;;;;;2016;4312;24;Down
;3;;;;;;;;;2016;5269;21;Down
;4;;;;;;;;;2016;5424;22;Down
;5;;;;;;;;;2016;5775;17;Down
;6;;;;;;;;;2016;4276;40;Down
;7;;;;;;;;;2016;7028;29;Down
;8;;;;;;;;;2016;4324;21;Down
;9;;;;;;;;;2016;3783;31;Down
;10;;;;;;;;;2016;0;23;Down
;11;;;;;;;;;2016;5630;23;Down
;12;;;;;;;;;2016;7061;38;Down
;13;;;;;;;;;2016;7464;36;Down
;14;;;;;;;;;2016;7165;41;Down
;15;;;;;;;;;2016;0;41;Down
;16;;;;;;;;;2016;8161;27;Down
;17;;;;;;;;;2016;8312;19;Down
;18;;;;;;;;;2016;7225;33;Down
;19;;;;;;;;;2016;7163;29;Down
;20;;;;;;;;;2016;6600;33;Down
;21;;;;;;;;;2016;0;37;Down
;22;;;;;;;;;2016;7615;31;Down
;23;;;;;;;;;2016;2382;24;Down
;24;;;;;;;;;2016;0;32;Down
;25;;;;;;;;;2016;1713;53;Down
;26;;;;;;;;;2016;7006;47;Down
;1;;;;;;;;;2017;6105;36;Down
;2;;;;;;;;;2017;6062;50;Down
;3;;;;;;;;;2017;0;46;Down
;4;;;;;;;;;2017;0;32;Down
;5;;;;;;;;;2017;0;30;Down
;6;;;;;;;;;2017;3381;23;Down
;7;;;;;;;;;2017;6820;23;Down
;8;;;;;;;;;2017;6072;15;Down
;9;;;;;;;;;2017;5238;21;Down
;10;;;;;;;;;2017;5081;24;Down
;11;;;;;;;;;2017;5990;21;Down
;12;;;;;;;;;2017;5952;31;Down
;13;;;;;;;;;2017;5211;42;Down
;14;;;;;;;;;2017;7237;44;Down
;15;;;;;;;;;2017;3929;30;Down
;16;;;;;;;;;2017;8760;24;Down
;17;;;;;;;;;2017;8101;40;Down
;18;;;;;;;;;2017;1537;25;Down
;19;;;;;;;;;2017;5359;30;Down
;20;;;;;;;;;2017;7698;20;Down
;21;;;;;;;;;2017;7093;26;Down
;22;;;;;;;;;2017;7088;34;Down
;23;;;;;;;;;2017;5560;25;Down
;24;;;;;;;;;2017;4150;37;Down
;25;;;;;;;;;2017;225;24;Down
;26;;;;;;;;;2017;6107;39;Down
